ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NUMBER,CALLED_NUMBER,START_DATE,END_DATE,DURATION,CITY,STATE,ADDRESS,CELL_SITE
1,"Binni Rumming",Binni,Rumming,62(579)581-9409,63(529)477-0399,1660408262,1660409795,1533,Berkeley,California,"0 Pennsylvania Street",42
2,"Weston Olley",Weston,Olley,86(130)252-5866,998(108)587-2824,1634744023,1634745936,1913,"Huntington Beach",California,"55729 Luster Drive",11
3,"Pansy Mattussevich",Pansy,Mattussevich,380(983)370-3141,84(866)126-6246,1657053222,1657056146,2924,Richmond,California,"75 Talmadge Place",20
4,"Benedetto Cownden",Benedetto,Cownden,63(416)723-3488,373(885)381-2656,1633428980,1633432734,3754,"Los Angeles",California,"854 Corscot Parkway",8
5,"Thom Mitcham",Thom,Mitcham,385(186)616-2077,86(661)667-6074,1643625772,1643628827,3055,Irvine,California,"5578 Hoffman Trail",40
6,"Alair Harower",Alair,Harower,230(952)254-2856,850(839)808-5074,1637528375,1637530999,2624,"San Diego",California,"337 Welch Trail",39
7,"Wat Annetts",Wat,Annetts,66(804)389-7926,86(806)191-7196,1646201307,1646202775,1468,Berkeley,California,"0 Pennsylvania Street",42
8,"Boonie Flather",Boonie,Flather,504(630)761-4257,7(180)359-2018,1630161392,1630164308,2916,"San Francisco",California,"447 Dexter Crossing",32
9,"Brennan Orrock",Brennan,Orrock,48(326)465-3411,62(500)122-2049,1642886476,1642887668,1192,Richmond,California,"7 Memorial Trail",18
10,"Brennan Orrock",Brennan,Orrock,48(326)465-3411,86(661)667-6074,1639290672,1639291054,382,"San Diego",California,"3 Thierer Pass",19
11,"Binni Rumming",Binni,Rumming,62(579)581-9409,86(806)191-7196,1631800352,1631804415,4063,Inglewood,California,"51 Brentwood Junction",4
12,"Rube Patshull",Rube,Patshull,27(692)289-3868,52(572)373-3046,1656782962,1656786054,3092,Richmond,California,"7 Memorial Trail",18
13,"Betsy Scrancher",Betsy,Scrancher,381(149)151-2454,62(906)288-1488,1646996760,1646997568,808,Richmond,California,"7 Memorial Trail",18
14,"Irene Albert",Irene,Albert,62(185)986-1070,356(123)992-0999,1660805434,1660808070,2636,Pasadena,California,"42482 Scott Court",2
15,"Lizabeth Kilshall",Lizabeth,Kilshall,86(763)709-8753,593(218)348-7628,1646687986,1646688907,921,Lancaster,California,"646 Carpenter Plaza",23
16,"Thom Mitcham",Thom,Mitcham,385(186)616-2077,62(895)811-6103,1633674485,1633676622,2137,Inglewood,California,"51 Brentwood Junction",4
17,"Sarina McMarquis",Sarina,McMarquis,81(653)645-4714,33(831)446-5581,1657531905,1657532469,564,"San Jose",California,"7161 Division Park",26
18,"Betsy Scrancher",Betsy,Scrancher,381(149)151-2454,66(191)311-1807,1654207341,1654212178,4837,Sacramento,California,"4 Lunder Lane",35
19,"Weston Olley",Weston,Olley,86(130)252-5866,62(869)779-9681,1644672901,1644677802,4901,Glendale,California,"0908 Basil Point",7
20,"Melisse Shilton",Melisse,Shilton,212(830)563-1091,30(510)813-2489,1655448292,1655449708,1416,Irvine,California,"5578 Hoffman Trail",40
21,"Leila Ruddick",Leila,Ruddick,996(696)476-9493,55(854)499-0789,1658076819,1658077127,308,Petaluma,California,"22898 Moulton Terrace",48
22,"Leila Ruddick",Leila,Ruddick,996(696)476-9493,234(685)245-1915,1642355874,1642358011,2137,Richmond,California,"7 Memorial Trail",18
23,"Rosalie McGaugey",Rosalie,McGaugey,1(909)642-2495,62(906)288-1488,1644583546,1644587908,4362,Berkeley,California,"0 Pennsylvania Street",42
24,"Lawrence Jannaway",Lawrence,Jannaway,86(227)105-1344,86(521)154-8375,1648663105,1648663816,711,Sacramento,California,"6357 Northwestern Pass",36
25,"Jocko Crutch",Jocko,Crutch,33(583)906-9913,52(572)373-3046,1646330208,1646334290,4082,"San Francisco",California,"1 Prairieview Lane",21
26,"Florie Satchell",Florie,Satchell,52(586)779-1666,86(473)129-7337,1630199877,1630203987,4110,"Long Beach",California,"678 Elgar Terrace",1
27,"Florie Satchell",Florie,Satchell,52(586)779-1666,46(295)230-5292,1638114778,1638115919,1141,"San Diego",California,"2149 Luster Point",3
28,"Terence Balhatchet",Terence,Balhatchet,351(905)372-6077,86(473)129-7337,1651787050,1651789902,2852,"San Jose",California,"36441 Gale Plaza",27
29,"Weston Olley",Weston,Olley,86(130)252-5866,86(521)154-8375,1633190876,1633191873,997,"San Jose",California,"36441 Gale Plaza",27
30,"Thom Mitcham",Thom,Mitcham,385(186)616-2077,62(500)122-2049,1636379700,1636380224,524,Carlsbad,California,"1 Bartelt Lane",31
31,"Ennis Dutnall",Ennis,Dutnall,968(366)449-5907,52(572)373-3046,1637354544,1637355372,828,Irvine,California,"5578 Hoffman Trail",40
32,"Charmine Maunders",Charmine,Maunders,92(593)729-9872,63(519)969-3726,1648259202,1648264002,4800,"Huntington Beach",California,"64153 Birchwood Crossing",24
33,"Cosette Parrot",Cosette,Parrot,86(318)201-5689,356(123)992-0999,1657749854,1657754568,4714,Fullerton,California,"54 Kropf Circle",9
34,"Charmine Maunders",Charmine,Maunders,92(593)729-9872,234(685)245-1915,1650014642,1650017998,3356,Glendale,California,"0908 Basil Point",7
35,"Willa Bubbings",Willa,Bubbings,46(467)187-7051,84(866)126-6246,1644105006,1644109286,4280,"San Diego",California,"3 Thierer Pass",19
36,"Ebenezer Vaud",Ebenezer,Vaud,351(514)131-4102,62(895)811-6103,1654425216,1654429745,4529,Sacramento,California,"4 Corry Park",37
37,"Cecil Cordy",Cecil,Cordy,62(203)763-5501,81(349)168-5517,1654522815,1654525787,2972,Fullerton,California,"54 Kropf Circle",9
38,"Alair Harower",Alair,Harower,230(952)254-2856,62(895)811-6103,1635599397,1635600287,890,Fresno,California,"5536 Grasskamp Junction",50
39,"Darla Halfacree",Darla,Halfacree,30(870)704-5639,7(615)844-9516,1654127621,1654129762,2141,"San Francisco",California,"60 Fisk Way",45
40,"Lanie Hagley",Lanie,Hagley,63(996)834-3794,81(349)168-5517,1639928519,1639931852,3333,Sacramento,California,"6357 Northwestern Pass",36
41,"Boonie Flather",Boonie,Flather,504(630)761-4257,62(500)122-2049,1643387955,1643391082,3127,Oakland,California,"85369 Independence Lane",16
42,"Paulie Anthonies",Paulie,Anthonies,86(817)997-8369,48(634)965-2665,1650925174,1650926022,848,"Santa Cruz",California,"0 Dapin Alley",29
43,"Bambie Benge",Bambie,Benge,86(211)608-3729,234(685)245-1915,1656301854,1656305697,3843,"San Jose",California,"7161 Division Park",26
44,"Ebenezer Vaud",Ebenezer,Vaud,351(514)131-4102,63(519)969-3726,1641132491,1641135523,3032,"San Diego",California,"60354 Monica Crossing",38
45,"Lawrence Jannaway",Lawrence,Jannaway,86(227)105-1344,212(780)387-2949,1652781219,1652782851,1632,Lancaster,California,"646 Carpenter Plaza",23
46,"Ebenezer Vaud",Ebenezer,Vaud,351(514)131-4102,52(572)373-3046,1638865949,1638870310,4361,Irvine,California,"4365 Steensland Pass",22
47,"Ebenezer Vaud",Ebenezer,Vaud,351(514)131-4102,7(615)844-9516,1632433214,1632437602,4388,"San Diego",California,"60354 Monica Crossing",38
48,"Jocko Crutch",Jocko,Crutch,33(583)906-9913,48(457)911-6423,1631802628,1631807012,4384,"San Diego",California,"3 Thierer Pass",19
49,"Wat Annetts",Wat,Annetts,66(804)389-7926,86(521)154-8375,1645806204,1645809188,2984,Fresno,California,"5536 Grasskamp Junction",50
50,"Hieronymus Blaskett",Hieronymus,Blaskett,55(349)599-8866,33(819)524-5775,1632944284,1632944493,209,Lancaster,California,"646 Carpenter Plaza",23
51,"Darla Halfacree",Darla,Halfacree,30(870)704-5639,81(349)168-5517,1634179553,1634180425,872,"San Diego",California,"2149 Luster Point",3
52,"Brennan Orrock",Brennan,Orrock,48(326)465-3411,33(831)446-5581,1655870026,1655871585,1559,Inglewood,California,"51 Brentwood Junction",4
53,"Brennan Orrock",Brennan,Orrock,48(326)465-3411,373(885)381-2656,1634599608,1634604013,4405,"Los Angeles",California,"8 Esch Street",49
54,"Kandy Godfrey",Kandy,Godfrey,86(495)856-3578,55(726)656-6186,1659403739,1659408293,4554,"San Diego",California,"60354 Monica Crossing",38
55,"Lilia Ellerker",Lilia,Ellerker,86(523)430-1507,971(419)560-7528,1629667646,1629672479,4833,Petaluma,California,"22898 Moulton Terrace",48
56,"Lilia Ellerker",Lilia,Ellerker,86(523)430-1507,55(387)322-6848,1642168611,1642169591,980,Pasadena,California,"42482 Scott Court",2
57,"Cameron Smallthwaite",Cameron,Smallthwaite,62(232)374-2946,86(722)958-3884,1636739959,1636740708,749,Sacramento,California,"24 Hoepker Crossing",47
58,"Paulie Anthonies",Paulie,Anthonies,86(817)997-8369,86(722)958-3884,1630246452,1630251165,4713,"San Diego",California,"60354 Monica Crossing",38
59,"Pansy Mattussevich",Pansy,Mattussevich,380(983)370-3141,33(831)446-5581,1638966273,1638966742,469,Fresno,California,"17646 Prairie Rose Drive",5
60,"Waring Mordy",Waring,Mordy,62(922)388-7545,86(317)385-0181,1637282419,1637283881,1462,Oakland,California,"85369 Independence Lane",16
61,"Terence Balhatchet",Terence,Balhatchet,351(905)372-6077,63(529)477-0399,1633706190,1633708353,2163,"Santa Cruz",California,"0 Dapin Alley",29
62,"Willa Bubbings",Willa,Bubbings,46(467)187-7051,62(906)288-1488,1655770376,1655774536,4160,"San Jose",California,"7161 Division Park",26
63,"Waring Mordy",Waring,Mordy,62(922)388-7545,63(529)477-0399,1631600498,1631604467,3969,Stockton,California,"647 Larry Park",44
64,"Melisse Shilton",Melisse,Shilton,212(830)563-1091,33(831)446-5581,1649819650,1649822705,3055,"Long Beach",California,"50207 Riverside Alley",10
65,"Melisse Shilton",Melisse,Shilton,212(830)563-1091,7(512)226-1547,1656644342,1656645217,875,"San Francisco",California,"60 Fisk Way",45
66,"Leila Ruddick",Leila,Ruddick,996(696)476-9493,46(227)770-6685,1655820983,1655822895,1912,Carlsbad,California,"1 Bartelt Lane",31
67,"Cosette Parrot",Cosette,Parrot,86(318)201-5689,971(419)560-7528,1630173059,1630177320,4261,"Santa Cruz",California,"0 Dapin Alley",29
68,"Lilia Ellerker",Lilia,Ellerker,86(523)430-1507,62(500)122-2049,1647533420,1647536838,3418,"San Diego",California,"337 Welch Trail",39
69,"Rube Patshull",Rube,Patshull,27(692)289-3868,62(500)122-2049,1653724789,1653727042,2253,Fresno,California,"5536 Grasskamp Junction",50
70,"Pansy Mattussevich",Pansy,Mattussevich,380(983)370-3141,62(895)811-6103,1660923009,1660923538,529,Carlsbad,California,"2747 Russell Hill",34
